Date and time (UTC),Rocket,Flight number,Launch site,LSP,Payload (⚀ = CubeSat),Operator,Orbit,Function,Decay (UTC),Outcome, Remarks

7 January 02:19:21,Falcon 9 Block 5,Starlink V1.0-L2,Cape Canaveral SLC-40,SpaceX,Starlink x 60, SpaceX, Low Earth, Communications, In orbit, Operational,

7 January 15:20:14,Long March 3B/E,3B-Y62,Xichang LC-2,CASC,TJSW-5,Ministry of Agriculture and Rural Affairs,Geosynchronous,Technology demonstration,In orbit,Operational

15 January 02:53,Long March 2D,2D-Y58,Taiyuan LC-9,CASC,"Jilin-1 Kuanfu-01 (Wideband-01) 
ÑuSat 7 (Sophie) 
ÑuSat 8 (Marie) 
Tianqi-5","Chang Guang Satellite Technology
Satellogic
Satellogic
Guodian Gaoke","Low Earth (SSO)
Low Earth (SSO)
Low Earth (SSO)
Low Earth (SSO)","Earth observation
Earth observation
Earth observation
Tech demonstration","In orbit
In orbit
In orbit
In orbit","Operational
Operational
Operational
Operational"

16 January 03:02,Kuaizhou 1A,Y9,Jiuquan LA-4,ExPace,Yinhe-1 / GS-SparkSat-03 / Galaxy-1,Galaxy Space,Low Earth (SSO),Technology demonstration,In orbit,Operational

16 January 21:05,Ariane 5 ECA,VA251,Kourou ELA-3,Arianespace,"Eutelsat Konnect
GSAT-30","Eutelsat
ISRO","Geosynchronous
Geosynchronous","Communications
Communications","In orbit
In orbit","Operational
Operational",GSAT-30 will replace INSAT-4A.

29 January 14:06:49,Falcon 9 Block 5,Starlink V1.0-L3,Cape Canaveral SLC-40,SpaceX,Starlink × 60,SpaceX,Low Earth,Communications,In orbit,Operational

31 January 02:56,Electron,Birds of a Feather,Mahia LC-1A,Rocket Lab,NROL-151,NRO,Low Earth,Reconnaissance,In orbit,Operational,First launch contracted via the NRO's Rapid Acquisition of a Small Rocket (RASR) program.,First launch contracted via the NRO's Rapid Acquisition of a Small Rocket (RASR) program.,First launch contracted via the NRO's Rapid Acquisition of a Small Rocket (RASR) program.,First launch contracted via the NRO's Rapid Acquisition of a Small Rocket (RASR) program.,First launch contracted via the NRO's Rapid Acquisition of a Small Rocket (RASR) program.,First launch contracted via the NRO's Rapid Acquisition of a Small Rocket (RASR) program.

