Date and Time,Rocket,Flight Number,Launch Country,Launch Site,LSP,Payload,Operator,Orbit,Function,Decay,Outcome,Remarks
1 January00:07,Commercial Titan III,,United States,Cape Canaveral LC-40,Martin Marietta,"Skynet 4A
JCSAT 2","MoD
JSAT","Geosynchronous
Geosynchronous","Communications
Communications","In orbit
In orbit","Operational
Operational","
Maiden flight of Commercial Titan III
"
9 January12:35,Space Shuttle Columbia,,United States,Kennedy LC-39A,,"STS-32
Leasat 5","NASA
NASA","Low Earth
Geosynchronous","Satellite deployment and retrieval
Communications","20 January06:35
In orbit","Successful
Successful","
Crewed orbital flight with 5 astronautsLong Duration Exposure Facility retrieval missionLeasat 5 retired in February 1998
"
17 January14:38,Soyuz-U,,Soviet Union,Plesetsk,,Kosmos 2055 (Zenit-8),,Low Earth,Reconnaissance,29 January,Successful
18 January12:57,Kosmos-3M,,Soviet Union,Plesetsk Site 133/3,,Kosmos 2056 (Strela-2M),,Low Earth,Communications,In orbit,Operational
22 January01:35,Ariane 4 (40),,France,Kourou ELA-2,Arianespace,"SPOT 2
UOSAT 3
UOSAT 4
PACSAT
Microsat 2
Microsat 3
Microsat 4","CNES
University of Surrey
University of Surrey
AMSAT
AMSAT
AMSAT
AMSAT","Sun-synchronous
Sun-synchronous
Sun-synchronous
Sun-synchronous
Sun-synchronous
Sun-synchronous
Sun-synchronous","Earth observation
Communications
Communications
Communications
Communications
Communications
Communications","In orbit
In orbit
In orbit
In orbit
In orbit
In orbit
In orbit","Operational
Operational
Spacecraft failure
Operational
Operational
Operational
Operational","
Maiden flight of Ariane 4 (40)UOSAT 4 ceased transmitting after 5 hours
"
23 January02:52,Molniya-M/ML,,Soviet Union,Plesetsk,,Molniya 3-53L,,Molniya,Communications,23 June 2003,Successful
24 January11:46,Mu-3S-II,,Japan,Uchinoura,ISAS,"Hiten
Hagoromo","ISAS
ISAS",Selenocentric,"Lunar probe
Lunar orbiter","11 April 1993
In orbit","Successful
Spacecraft failure","
First Japanese lunar missionHagoromo suffered a transmitter malfunction prior to selenocentric orbit injection
"
24 January22:55,Delta II 6925,,United States,Cape Canaveral LC-17A,McDonnell Douglas,GPS II-6 (USA-50),US Air Force,Medium Earth,Navigation,In orbit,Successful
25 January17:15,Soyuz-U,,Soviet Union,Plesetsk,,Kosmos 2057 (Yantar-4K2),,Low Earth,Reconnaissance,19 March 1990,Successful
30 January11:20,Tsyklon-3,,Soviet Union,Plesetsk Site 32,,Kosmos 2058 (Tselina-R),,Low Earth,ELINT,In orbit,Operational
4 February12:27,Long March 3,,China,Xichang LC-1,,DFH-2 A-4,,Geosynchronous,Communications,In orbit,Operational
6 February16:30,Kosmos-3M,,Soviet Union,Plesetsk Site 132/2,,Kosmos 2059 (Taifun-2),,Low Earth,Radar calibration,12 November,Successful
7 February01:33,H-I,,Japan,Tanegashima LA-N,Mitsubishi,"MOS 1B
DEBUT
JAS-1B",NASDA,"Low Earth
Low Earth
Low Earth","Earth observation
Technology demonstration
Communications","In orbit
In orbit
In orbit","Operational
Successful
Operational"
11 February06:16,Soyuz-U2,,Soviet Union,Baikonur Site 1/5,,Soyuz TM-9,,Low Earth (Mir),Mir EO-9,9 August07:33,Successful,"
Crewed orbital flight with 2 cosmonauts
"
