Date and Time,Rocket,Flight Number,Launch Country,Launch Site,LSP,Payload,Operator,Orbit,Function,Decay,Outcome,Remarks
12 January09:27,Space Shuttle Atlantis,,United States,Kennedy LC-39B,United Space Alliance,"STS-81
SpaceHab LDM","NASA
NASA/SpaceHab","Low Earth (Mir)
Low Earth (Atlantis)","Shuttle-Mir flight
Logistics","
Crewed orbital flight with six astronauts
"
15 January,R-29,,Russia,"Submarine, Barents Sea",Russian Navy,,Russian Navy,Suborbital,Missile test,15 January,Successful
17 January01:17,LGM-30F Minuteman II,,United States,Vandenberg LF-03,US Air Force,IFT-1 (EKV),US Air Force,Suborbital,ABM target,17 January,Successful
17 January16:28,Delta II 7925-9.5,,United States,Cape Canaveral LC-17A,Boeing IDS,GPS IIR-1,US Air Force,Intended: Medium Earth,Navigation,+12 seconds,Launch Failure,"
SRB structural failure caused rocket to explode; First flight of GPS Block IIR satellite
"
29 January,Storm-2,,United States,White Sands LC-32,Orbital Sciences,"MTTV
MTD-2","US Air Force
US Air Force","Suborbital
Suborbital","Target spacecraft
Weapons test"
30 January,SR19,,United States,"C-130, NAS Point Mugu",US Air Force,AltAir (Have Gold),US Air Force,Suborbital,Test flight,+28 seconds,Launch Failure,"
Accidentally destroyed by range safety
"
30 January07:30,S-520,,Japan,Uchinoura Pad K,ISAS,,ISAS,Suborbital,Technology development,30 January,Successful
30 January08:42,LGM-30G Minuteman III,,United States,Vandenberg LF-26,US Air Force,FOT GT163GB,US Air Force,Suborbital,Missile test,30 January,Successful
30 January22:04,Ariane 4 (44L),,France,Kourou ELA-2,Arianespace,"GE 2
Nahuel 1A","GE Americom
Nahuelsa","Geosynchronous
Geosynchronous","Communications
Communications","In orbit
In orbit","Operational
Operational"
31 January01:55,MR-12,,Russia,Kapustin Yar,AN RF,Flaksus-1,APL,Suborbital,Plasma research,31 January,Successful
5 February02:16,MR-12,,Russia,Kapustin Yar,AN RF,Flaksus-2,APL,Suborbital,Plasma research,5 February,Successful
7 February,R-17 Scud,,Marshall Islands,"Bigen Island, Aur Atoll",US Air Force,Willow Dune,US Air Force,Suborbital,Target,7 February,Successful
10 February05:17,Black Brant XII,,United States,Poker Flat,NASA,PHAZE 2,NASA,Suborbital,Ionosphere research,10 February,Successful
10 February06:30,Castor- Orbus,,United States,Nevada Test Site LA-26,Sandia,,Sandia,Suborbital,Rocket test,10 February,Successful
10 February14:09,Soyuz-U,,Kazakhstan,Baikonur Site 1/5,Roskosmos,Soyuz TM-25,Roskosmos,Low Earth (Mir),Mir EO-23,14 August12:17,Successful,"
Crewed orbital flight with three cosmonauts
"
11 February08:36,Black Brant XII,,United States,Poker Flat,NASA,Auroral Turbulance 2,NASA,Suborbital,Auroral/Ionosphere research,11 February,Successful
11 February08:55,Space Shuttle Discovery,,United States,Kennedy LC-39A,United Space Alliance,STS-82,NASA,Low Earth (HST),Hubble Servicing Mission 2,21 February08:32,Successful,"
Crewed orbital flight with seven astronauts
"
12 February04:50,M-V,,Japan,Uchinoura,ISAS,HALCA (MUSES-B),ISAS,Medium Earth,Astronomy,In orbit,Successful,"
Maiden flight of M-V; Mission concluded in November 2005
"
12 February21:00,LCLV,,United States,Wallops Island,Orbital Sciences,MDT IV,,Suborbital,Target,12 February,Successful
