Date and Time,Rocket,Flight Number,Launch Country,Launch Site,LSP,Payload,Operator,Orbit,Function,Decay,Outcome,Remarks
3 January20:21,Delta II 7425-9.5,,United States,Cape Canaveral SLC-17B,Boeing IDS,"Mars Polar Lander
Scott (Microprobe/Penetrator 1)
Amundsen (Microprobe/Penetrator 2)","NASA
NASA
NASA","Heliocentric
Heliocentric
Heliocentric","Mars lander
Mars lander
Mars lander","
Contact lost at 19:51 UTC on 3 December 1999
"
15 January,Shaheen 1,,Pakistan,Sonmiani,PAF,,PAF,Suborbital,Missile test,15 January,Failure,"
Maiden flight of Shaheen 1
"
21 January06:13,Black Brant XII,,Norway,Andøya,NASA,CAPER,NASA,Suborbital,Ionosphere research,21 January,Successful
22 January13:57,Black Brant XII,,United States,Poker Flat,NASA,APEX (North Star),NASA,Suborbital,Plasma research,22 January,Successful
22 January15:20,Black Brant VB,,United States,Poker Flat,NASA,,NASA,Suborbital,Ionosphere research,22 January,Successful
22 January15:31,Taurus- Orion,,United States,Poker Flat,NASA,,NASA,Suborbital,Ionosphere research,22 January,Successful
27 January00:34,Athena I,,United States,Spaceport Florida LC-46,Lockheed Martin,ROCSAT-1,NSPO,Low Earth,Imagery/Communications,In orbit,Operational,"
First Taiwanese satellite
"
2 February01:30,S-310,,Japan,Uchinoura LC-K,ISAS,,,Suborbital,Ionosphere and X-ray research,2 February,Successful
7 February21:04,Delta II 7426-9.5,,United States,Cape Canaveral SLC-17A,Boeing IDS,"Stardust
Stardust return capsule","NASA
NASA","Heliocentric
Heliocentric","Comet sample return
Comet sample return","In orbit
16 January 2006","Successful
Successful","
Maiden flight of Delta II 7426Returned sample from 81P/Wild and will visit Tempel 1
"
9 February,Trident D-5,,United States,"Submarine, Eastern Test Range",US Navy,,US Navy,Suborbital,Missile test,9 February,Successful
9 February,Trident D-5,,United States,"Submarine, Eastern Test Range",US Navy,,US Navy,Suborbital,Missile test,9 February,Successful
9 February03:53,Soyuz-U/Ikar,,Kazakhstan,Baikonur Site 1/5,Starsem,"Globalstar 23
Globalstar 40
Globalstar 36
Globalstar 38","Globalstar
Globalstar
Globalstar
Globalstar","Low Earth
Low Earth
Low Earth
Low Earth","Communications
Communications
Communications
Communications","In orbit
In orbit
In orbit
In orbit","Operational
Operational
Operational
Operational","
First launch contracted by Starsem
"
10 February08:06,Minuteman III,,United States,Vandenberg LF-04,US Air Force,,US Air Force,Suborbital,Missile test,10 February,Successful
11 February06:45,Black Brant X,,United States,Poker Flat,NASA,ENSTROPHY,NASA,Suborbital,Ionosphere research,11 February,Successful
15 February05:12,Proton-K/DM-2M,,Kazakhstan,Baikonur Site 81/23,International Launch Services,Telstar 6,Telstar,Geosynchronous,Communications,In orbit,Operational
16 February01:45,Atlas IIAS,,United States,Cape Canaveral SLC-36A,International Launch Services,JCSAT-6,JSAT,Geosynchronous,Communications,In orbit,Operational
20 February04:18,Soyuz-U,,Kazakhstan,Baikonur Site 1/5,Roskosmos,Soyuz TM-29,Roskosmos,Low Earth (Mir),Mir EO-27,28 August00:34,Successful,"
Crewed orbital flight with three cosmonauts
"
20 February04:45,Black Brant IX,,United States,White Sands,NASA,SPINR,NASA,Suborbital,Ultraviolet astronomy,20 February,Successful
23 February10:29,Delta II 7920-10,,United States,Vandenberg SLC-2W,Boeing IDS,"ARGOS
Ørsted
SUNSAT","US Air Force
DMI
Stellenbosch","Sun-synchronous
Sun-synchronous
Sun-synchronous","Technology development
Magnetosphere research
Technology demonstration","In orbit
In orbit
In orbit","Successful
Operational
Successful","
ARGOS was retired on 31 July 2003Ørsted was the first Danish satellite and SUNSAT was the first South African satellite
"
26 February22:44,Ariane 4 44L,,France,Kourou ELA-2,Arianespace,"Arabsat 3A
Skynet 4E","Arabsat
MoD","Geosynchronous
Geosynchronous","Communications
Communications","In orbit
In orbit","Operational
Operational"
28 February04:00,Proton-K/DM-2,,Kazakhstan,Baikonur Site 81/23,,Raduga-1,MO RF,Geosynchronous,Communications,In orbit,Operational
